seed,name,N,degree,loss,time,r2,rmse,best_degree,num_params,max_degree
42,TT,120,8,0.0718415853121008,2.6679301261901855,0.9999999999999881,1.8448424938137838e-09,3,4992,8
42,Growing CPD,120,1,0.05120144837319875,0.0055844783782958984,0.9999999972988817,8.809516325348528e-07,3,2400,8
42,Growing CPD,120,2,0.056008640723650145,0.01358342170715332,0.9999999972988817,8.809516325348528e-07,3,2400,8
42,Growing CPD,120,3,8.99878972772592e-07,0.02137613296508789,0.9999999972988817,8.809516325348528e-07,3,2400,8
42,Growing CPD,120,4,0.011174802769572438,0.02930593490600586,0.9999999972988817,8.809516325348528e-07,3,2400,8
42,Growing CPD,120,5,0.01706681422847891,0.037297964096069336,0.9999999972988817,8.809516325348528e-07,3,2400,8
42,Growing CPD,120,6,0.017422075707461585,0.0450749397277832,0.9999999972988817,8.809516325348528e-07,3,2400,8
42,Growing CPD,120,7,0.019116670184005577,0.05285477638244629,0.9999999972988817,8.809516325348528e-07,3,2400,8
42,Growing CPD,120,8,0.02236017581904121,0.060654640197753906,0.9999999972988817,8.809516325348528e-07,3,2400,8
42,Growing TT,330,1,0.04465242873144735,0.004584074020385742,1.0,3.584137247501278e-12,4,14016,8
42,Growing TT,330,2,0.03878769776753736,0.017705678939819336,1.0,3.584137247501278e-12,4,14016,8
42,Growing TT,330,3,1.0420462308246068e-11,0.030683040618896484,1.0,3.584137247501278e-12,4,14016,8
42,Growing TT,330,4,9.061133241347177e-12,0.04364824295043945,1.0,3.584137247501278e-12,4,14016,8
42,Growing TT,330,5,9.442774322574624e-12,0.0565791130065918,1.0,3.584137247501278e-12,4,14016,8
42,Growing TT,330,6,1.6766972281308776e-11,0.06933951377868652,1.0,3.584137247501278e-12,4,14016,8
42,Growing TT,330,7,8.072426536268797e-11,0.08217334747314453,1.0,3.584137247501278e-12,4,14016,8
42,Growing TT,330,8,4.727806445991347e-10,0.08929157257080078,1.0,3.584137247501278e-12,4,14016,8
42,Poly.Reg.,330,1,0.04465242873144704,0.0008695125579833984,1.0,4.906538933386797e-17,3,120,8
42,Poly.Reg.,330,2,0.03878769776757341,0.0024712085723876953,1.0,4.906538933386797e-17,3,120,8
42,Poly.Reg.,330,3,8.208986583324543e-17,0.005331277847290039,1.0,4.906538933386797e-17,3,120,8
42,Poly.Reg.,330,4,4.2847741782775075e-14,0.009133577346801758,1.0,4.906538933386797e-17,3,120,8
42,Poly.Reg.,330,5,0.008806645601513357,0.014309883117675781,1.0,4.906538933386797e-17,3,120,8
42,Poly.Reg.,330,6,0.011246850943978773,0.0214993953704834,1.0,4.906538933386797e-17,3,120,8
42,Poly.Reg.,330,7,0.01360606351611744,0.035497188568115234,1.0,4.906538933386797e-17,3,120,8
42,Poly.Reg.,330,8,0.015114199085591798,0.05832529067993164,1.0,4.906538933386797e-17,3,120,8
42,CPD,330,2,0.03878769776757325,0.027618885040283203,1.0,5.405796838290319e-13,3,2400,8
42,CPD,330,3,6.92609470427893e-13,0.08441853523254395,1.0,5.405796838290319e-13,3,2400,8
42,CPD,330,4,5.703942619658882e-06,0.1724238395690918,1.0,5.405796838290319e-13,3,2400,8
42,CPD,330,5,0.00456808404257965,0.3650221824645996,1.0,5.405796838290319e-13,3,2400,8
42,CPD,330,6,0.02200954889481257,1.8651890754699707,1.0,5.405796838290319e-13,3,2400,8
