model,d,data_degree,seed,r2,rmse,degree,time,params,rank
tt,1,1,50,1.0,1.3352138548255721e-11,1,0.08615255355834961,48,24
poly,1,1,50,1.0,3.724211652899957e-15,9,0.02092719078063965,10,-1
tt,1,1,51,0.9999999999959925,5.341735595396965e-11,1,0.07799696922302246,8,4
tt,1,1,51,0.9999999999990021,2.6654736356959822e-11,1,0.07888031005859375,16,8
tt,1,1,51,0.999999999999889,8.890179498637551e-12,1,0.08565807342529297,48,24
poly,1,1,51,1.0,1.5485919901226002e-15,6,0.01580500602722168,7,-1
tt,1,2,42,1.0,2.958563704479401e-10,3,0.10180091857910156,72,4
tt,1,2,42,1.0,5.6482404948736225e-11,7,0.14963150024414062,784,8
tt,1,2,42,1.0,2.2130101734643845e-11,3,0.11251568794250488,2352,24
poly,1,2,42,1.0,2.42792601699933e-15,8,0.019179344177246094,9,-1
tt,1,2,43,0.9999941792437251,3.1524209713119395e-10,3,0.10091352462768555,72,4
tt,1,2,43,0.9999998364423223,5.2843304548782556e-11,3,0.10566043853759766,272,8
tt,1,2,43,0.9999999999999725,2.166760743866973e-14,2,0.0987558364868164,1200,24
poly,1,2,43,1.0,3.1694874333121785e-17,3,0.011333227157592773,4,-1
tt,1,2,44,0.9999999999999999,1.4789696471237976e-12,3,0.10270524024963379,72,4
tt,1,2,44,1.0,8.021124161974029e-14,3,0.10193538665771484,272,8
tt,1,2,44,1.0,1.8494921154090978e-15,3,0.1125645637512207,2352,24
poly,1,2,44,1.0,8.759588674699562e-20,2,0.01004934310913086,3,-1
tt,1,2,45,0.9999999999999762,1.0634475717289543e-08,3,0.10353469848632812,72,4
tt,1,2,45,1.0,6.560701918309073e-11,3,0.10271191596984863,272,8
tt,1,2,45,1.0,1.3217346574759135e-12,3,0.11228132247924805,2352,24
poly,1,2,45,1.0,4.4668371611075957e-17,5,0.014270782470703125,6,-1
tt,1,2,46,0.9990644485552261,6.129847329513237e-07,4,0.11475157737731934,104,4
tt,1,2,46,0.9999996876388051,1.120067920573523e-08,3,0.10578012466430664,272,8
tt,1,2,46,0.9999999999993844,1.5724913364496747e-11,2,0.09917187690734863,1200,24
poly,1,2,46,1.0,4.803395023928821e-15,5,0.014347314834594727,6,-1
tt,1,2,47,0.99999999999089,6.876713690464111e-07,5,0.1240227222442627,136,4
tt,1,2,47,0.9999999999997605,1.1149230267653615e-07,4,0.11404132843017578,400,8
tt,1,2,47,1.0,1.5286559594857678e-09,4,0.12584400177001953,3504,24
poly,1,2,47,1.0,6.833781207288093e-16,2,0.009829521179199219,3,-1
tt,1,2,48,0.9999999999999999,5.2352737980347884e-12,4,0.11570358276367188,104,4
tt,1,2,48,0.9999999999999948,5.0142018774215413e-11,3,0.1018826961517334,272,8
tt,1,2,48,1.0,7.247968908536991e-15,3,0.1122586727142334,2352,24
poly,1,2,48,1.0,1.3818708561308432e-18,4,0.012828350067138672,5,-1
tt,1,2,49,0.9999999999999992,4.802111337626779e-13,3,0.10062551498413086,72,4
tt,1,2,49,1.0,1.1584140936066003e-14,3,0.10698437690734863,272,8
tt,1,2,49,1.0,1.961967856333995e-14,3,0.11232995986938477,2352,24
poly,1,2,49,1.0,1.2974235662949536e-19,6,0.01582932472229004,7,-1
tt,1,2,50,0.9999999999999999,1.3903957655306584e-08,3,0.10392260551452637,72,4
tt,1,2,50,1.0,1.909422587326511e-09,3,0.10342288017272949,272,8
